date,vacc3,vacc2,unvacc,total
01/03/2021,0,0,25,26
01/04/2021,0,0,35,38
01/05/2021,0,0,23,23
01/06/2021,0,0,40,43
01/07/2021,0,0,39,48
01/08/2021,0,0,41,46
01/09/2021,0,0,20,20
01/10/2021,0,0,36,43
01/11/2021,0,0,24,28
01/12/2021,0,0,30,55
01/13/2021,0,0,41,57
01/14/2021,0,0,39,59
01/15/2021,0,0,40,52
01/16/2021,0,0,31,47
01/17/2021,0,0,32,56
01/18/2021,0,0,27,46
01/20/2021,0,0,36,55
01/21/2021,0,0,31,48
01/22/2021,0,0,39,66
01/23/2021,0,0,30,52
01/24/2021,0,3,35,76
01/25/2021,0,1,39,60
01/26/2021,0,2,30,53
01/27/2021,0,1,33,61
01/28/2021,0,3,28,49
01/29/2021,0,1,30,45
01/30/2021,0,3,17,38
01/31/2021,0,12,23,51
02/01/2021,0,4,20,46
02/02/2021,0,8,34,61
02/03/2021,0,10,26,57
02/04/2021,0,7,24,48
02/05/2021,0,7,17,33
02/06/2021,0,9,27,52
02/07/2021,0,7,26,44
02/08/2021,0,6,20,30
02/09/2021,0,5,26,42
02/10/2021,0,9,12,32
02/11/2021,0,8,17,30
02/12/2021,0,10,21,41
02/13/2021,0,4,20,29
02/14/2021,0,3,24,37
02/15/2021,0,1,13,16
02/16/2021,0,9,26,42
02/17/2021,0,3,20,27
02/18/2021,0,5,19,35
02/19/2021,0,4,13,22
02/20/2021,0,2,16,25
02/21/2021,0,4,16,24
02/22/2021,0,1,13,16
02/23/2021,0,3,26,36
02/24/2021,0,0,20,27
02/25/2021,0,5,14,23
02/26/2021,0,2,15,22
02/27/2021,0,5,22,29
02/28/2021,0,4,14,21
03/01/2021,0,3,12,18
03/02/2021,0,2,18,21
03/03/2021,0,3,12,17
03/04/2021,0,0,11,17
03/05/2021,0,2,14,18
03/06/2021,0,1,13,20
03/07/2021,0,4,8,15
03/08/2021,0,2,15,22
03/09/2021,0,1,11,15
03/10/2021,0,0,14,17
03/11/2021,0,2,14,18
03/12/2021,0,0,9,12
03/13/2021,0,3,9,16
03/14/2021,0,3,19,26
03/15/2021,0,3,10,17
03/16/2021,0,1,11,17
03/17/2021,0,1,7,13
03/18/2021,0,0,6,9
03/19/2021,0,4,8,12
03/20/2021,0,1,5,7
03/21/2021,0,4,10,14
03/22/2021,0,2,10,13
03/23/2021,0,3,11,15
03/24/2021,0,2,6,10
03/25/2021,0,2,5,10
03/26/2021,0,1,7,11
03/27/2021,0,0,5,6
03/28/2021,0,2,10,12
03/29/2021,0,0,9,10
03/30/2021,0,0,11,12
03/31/2021,0,3,11,16
04/01/2021,0,1,6,8
04/02/2021,0,1,12,16
04/03/2021,0,0,6,7
04/04/2021,0,2,5,8
04/05/2021,0,2,3,6
04/06/2021,0,0,5,6
04/07/2021,0,1,6,9
04/08/2021,0,3,8,11
04/09/2021,0,1,8,10
04/10/2021,0,2,6,9
04/11/2021,0,1,4,6
04/12/2021,0,2,2,6
04/13/2021,0,2,9,13
04/14/2021,0,0,2,3
04/15/2021,0,1,2,3
04/16/2021,0,1,2,5
04/17/2021,0,2,5,7
04/18/2021,0,1,3,4
04/19/2021,0,2,1,3
04/20/2021,0,0,3,3
04/21/2021,0,0,1,2
04/22/2021,0,0,2,2
04/23/2021,0,1,3,5
04/24/2021,0,2,2,4
04/25/2021,0,0,1,1
04/26/2021,0,1,1,3
04/27/2021,0,0,4,6
04/28/2021,0,0,0,0
04/29/2021,0,1,0,2
04/30/2021,0,0,2,2
05/01/2021,0,0,1,2
05/02/2021,0,0,1,1
05/03/2021,0,2,0,2
05/04/2021,0,0,2,2
05/05/2021,0,0,2,2
05/06/2021,0,0,2,2
05/07/2021,0,0,2,2
05/08/2021,0,0,1,1
05/09/2021,0,0,1,1
05/10/2021,0,0,2,2
05/11/2021,0,1,0,1
05/12/2021,0,0,0,0
05/13/2021,0,0,2,2
05/14/2021,0,0,0,0
05/15/2021,0,1,0,1
05/16/2021,0,0,1,1
05/17/2021,0,1,2,3
05/18/2021,0,0,0,0
05/19/2021,0,0,0,0
05/20/2021,0,0,0,0
05/21/2021,0,1,1,2
05/22/2021,0,0,0,0
05/23/2021,0,0,1,1
05/24/2021,0,0,1,1
05/25/2021,0,1,0,1
05/26/2021,0,0,0,0
05/27/2021,0,0,2,2
05/28/2021,0,0,1,1
05/29/2021,0,0,0,0
05/30/2021,0,0,0,0
05/31/2021,0,0,0,0
06/01/2021,0,0,1,1
06/02/2021,0,0,0,0
06/03/2021,0,0,0,1
06/04/2021,0,0,0,0
06/05/2021,0,0,1,1
06/06/2021,0,0,0,0
06/07/2021,0,0,1,1
06/08/2021,0,1,0,1
06/09/2021,0,0,0,0
06/10/2021,0,0,0,0
06/11/2021,0,0,0,0
06/12/2021,0,0,0,0
06/13/2021,0,0,0,1
06/14/2021,0,0,0,0
06/15/2021,0,0,0,0
06/16/2021,0,0,1,1
06/17/2021,0,0,0,0
06/18/2021,0,0,0,0
06/19/2021,0,0,0,0
06/20/2021,0,0,0,0
06/21/2021,0,0,0,0
06/22/2021,0,0,0,0
06/23/2021,0,0,0,0
06/24/2021,0,0,0,0
06/25/2021,0,0,1,1
06/26/2021,0,0,0,0
06/27/2021,0,0,0,0
06/28/2021,0,0,0,0
06/29/2021,0,0,0,0
06/30/2021,0,0,0,0
07/01/2021,0,0,0,0
07/02/2021,0,0,0,0
07/03/2021,0,0,0,0
07/04/2021,0,0,0,0
07/05/2021,0,0,0,0
07/06/2021,0,0,0,0
07/07/2021,0,0,1,1
07/08/2021,0,2,0,2
07/09/2021,0,0,0,0
07/10/2021,0,2,0,2
07/11/2021,0,1,1,2
07/12/2021,0,2,0,2
07/13/2021,0,0,1,1
07/14/2021,0,3,0,3
07/15/2021,0,1,0,1
07/16/2021,0,1,0,1
07/17/2021,0,2,0,2
07/18/2021,0,2,2,4
07/19/2021,0,2,0,2
07/20/2021,0,2,0,2
07/21/2021,0,3,0,3
07/22/2021,0,0,0,0
07/23/2021,0,0,1,1
07/24/2021,0,2,1,3
07/25/2021,0,2,1,3
07/26/2021,0,1,1,2
07/27/2021,0,1,0,1
07/28/2021,0,5,1,6
07/29/2021,0,3,1,5
07/30/2021,0,2,0,2
07/31/2021,0,2,2,4
08/01/2021,0,8,2,10
08/02/2021,0,6,4,10
08/03/2021,0,9,2,11
08/04/2021,0,2,3,5
08/05/2021,0,13,3,16
08/06/2021,0,10,4,14
08/07/2021,0,9,3,12
08/08/2021,0,14,4,18
08/09/2021,0,9,2,11
08/10/2021,0,11,6,17
08/11/2021,0,9,4,14
08/12/2021,1,12,6,21
08/13/2021,0,14,9,23
08/14/2021,1,7,10,18
08/15/2021,4,8,8,20
08/16/2021,2,14,10,27
08/17/2021,1,9,6,17
08/18/2021,4,14,5,23
08/19/2021,1,14,11,27
08/20/2021,5,11,5,21
08/21/2021,2,10,11,24
08/22/2021,2,14,12,29
08/23/2021,8,7,5,20
08/24/2021,6,15,7,28
08/25/2021,7,13,11,31
08/26/2021,3,13,14,31
08/27/2021,6,9,10,26
08/28/2021,2,12,9,23
08/29/2021,3,16,9,29
08/30/2021,3,9,9,24
08/31/2021,2,11,18,31
09/01/2021,5,8,16,29
09/02/2021,5,10,16,32
09/03/2021,4,10,15,30
09/04/2021,3,10,15,28
09/05/2021,1,11,13,26
09/06/2021,5,9,9,24
09/07/2021,0,15,21,36
09/08/2021,8,7,11,28
09/09/2021,4,3,13,21
09/10/2021,1,8,9,18
09/11/2021,5,10,11,26
09/12/2021,5,4,13,23
09/13/2021,3,4,11,18
09/14/2021,2,5,21,30
09/15/2021,2,7,12,22
09/16/2021,1,4,13,18
09/17/2021,2,5,9,16
09/18/2021,4,2,10,17
09/19/2021,2,7,15,25
09/20/2021,1,2,9,14
09/21/2021,3,1,9,14
09/22/2021,3,6,10,19
09/23/2021,0,7,12,20
09/24/2021,0,8,11,20
09/25/2021,0,6,15,21
09/26/2021,2,0,11,14
09/27/2021,2,4,8,14
09/28/2021,3,3,13,20
09/29/2021,2,3,18,23
09/30/2021,2,4,8,15
10/01/2021,2,4,10,17
10/02/2021,3,4,12,19
10/03/2021,2,6,12,22
10/04/2021,1,2,8,11
10/05/2021,1,0,4,5
