date,over60,below60,over60vacc3,below60vacc3,over60vacc2,below60vacc2,over60unvacc,below60unvacc,total
12/01/2020,33,11,0,0,0,0,33,11,43
12/02/2020,27,12,0,0,0,0,27,12,38
12/03/2020,31,13,0,0,0,0,31,13,43
12/04/2020,35,8,0,0,0,0,35,8,38
12/05/2020,25,7,0,0,0,0,25,7,29
12/06/2020,20,17,0,0,0,0,20,17,34
12/07/2020,26,9,0,0,0,0,26,9,36
12/08/2020,22,7,0,0,0,0,22,7,27
12/09/2020,26,10,0,0,0,0,26,10,35
12/10/2020,24,14,0,0,0,0,24,14,34
12/11/2020,37,16,0,0,0,0,37,16,50
12/12/2020,24,14,0,0,0,0,24,14,37
12/13/2020,40,18,0,0,0,0,40,18,58
12/14/2020,37,14,0,0,0,0,37,14,51
12/15/2020,44,12,0,0,0,0,44,12,53
12/16/2020,47,13,0,0,0,0,47,13,56
12/17/2020,49,22,0,0,0,0,49,22,69
12/18/2020,47,11,0,0,0,0,47,11,56
12/19/2020,40,19,0,0,0,0,40,19,58
12/20/2020,50,13,0,0,0,0,50,13,59
12/21/2020,53,13,0,0,0,0,53,13,65
12/22/2020,60,18,0,0,0,0,60,18,75
12/23/2020,51,26,0,0,0,0,51,26,69
12/24/2020,51,21,0,0,0,0,51,21,70
12/25/2020,58,24,0,0,0,0,58,24,80
12/26/2020,55,21,0,0,0,0,55,21,73
12/27/2020,57,26,0,0,0,0,57,26,80
12/28/2020,72,23,0,0,0,0,72,23,89
12/29/2020,67,24,0,0,0,0,67,24,87
12/30/2020,76,24,0,0,0,0,76,24,94
12/31/2020,78,31,0,0,0,0,78,31,108
01/01/2021,77,25,0,0,0,0,77,25,101
01/02/2021,71,10,0,0,0,0,71,10,73
01/03/2021,96,17,0,0,0,0,96,17,111
01/04/2021,106,22,0,0,0,0,106,22,123
01/05/2021,103,37,0,0,0,0,103,37,141
01/06/2021,108,33,0,0,0,0,108,33,131
01/07/2021,98,36,0,0,0,0,98,36,120
01/08/2021,80,45,0,0,0,0,80,45,116
01/09/2021,92,26,0,0,0,0,92,26,116
01/10/2021,112,35,0,0,0,0,112,35,131
01/11/2021,126,31,0,0,0,0,126,31,149
01/12/2021,97,39,0,0,0,0,97,39,135
01/13/2021,131,40,0,0,0,0,131,40,154
01/14/2021,101,43,0,0,0,0,101,43,145
01/15/2021,117,30,0,0,0,0,117,30,129
01/16/2021,81,27,0,0,0,0,81,27,103
01/17/2021,137,42,0,0,0,0,137,42,161
01/18/2021,107,33,0,0,0,0,107,33,133
01/19/2021,117,35,0,0,5,0,117,35,148
01/20/2021,94,38,0,0,1,0,63,30,126
01/21/2021,86,41,0,0,2,1,54,38,130
01/22/2021,89,35,0,0,1,0,49,34,121
01/23/2021,101,33,0,0,2,0,46,30,127
01/24/2021,85,44,0,0,2,0,49,40,127
01/25/2021,122,38,0,0,1,0,72,36,159
01/26/2021,97,52,0,0,3,0,50,49,146
01/27/2021,79,44,0,0,1,1,53,38,121
01/28/2021,82,50,0,0,4,1,53,45,128
01/29/2021,68,32,0,0,6,0,45,32,93
01/30/2021,60,27,0,0,10,1,33,27,88
01/31/2021,68,46,0,0,8,0,47,43,120
02/01/2021,92,34,0,0,13,1,65,25,122
02/02/2021,78,55,0,0,13,2,44,45,124
02/03/2021,93,58,0,0,17,0,63,54,143
02/04/2021,77,45,0,0,22,1,52,45,121
02/05/2021,66,54,0,0,12,1,45,47,117
02/06/2021,58,35,0,0,9,1,49,30,86
02/07/2021,64,44,0,0,10,2,57,43,114
02/08/2021,93,41,0,0,14,3,65,39,132
02/09/2021,51,42,0,0,9,0,41,41,90
02/10/2021,61,53,0,0,10,0,59,51,115
02/11/2021,43,42,0,0,8,0,37,46,80
02/12/2021,44,30,0,0,6,0,42,21,71
02/13/2021,46,39,0,0,1,1,54,42,85
02/14/2021,66,46,0,0,13,1,53,48,112
02/15/2021,53,52,0,0,7,2,56,44,105
02/16/2021,45,33,0,0,5,0,37,36,73
02/17/2021,46,46,0,0,8,2,38,37,87
02/18/2021,38,31,0,0,5,1,31,32,68
02/19/2021,30,26,0,0,5,1,25,22,54
02/20/2021,20,40,0,0,4,2,16,39,58
02/21/2021,34,36,0,0,7,2,33,33,65
02/22/2021,48,50,0,0,7,1,44,46,92
02/23/2021,41,44,0,0,6,1,37,42,85
02/24/2021,32,42,0,0,4,1,38,40,79
02/25/2021,39,37,0,0,6,0,45,37,71
02/26/2021,30,31,0,0,5,0,32,34,61
02/27/2021,32,23,0,0,10,0,27,21,52
02/28/2021,37,25,0,0,4,0,36,32,60
03/01/2021,54,44,0,0,3,2,46,41,95
03/02/2021,46,32,0,0,7,0,36,28,74
03/03/2021,56,31,0,0,6,3,45,28,87
03/04/2021,40,35,0,0,6,2,32,29,71
03/05/2021,35,32,0,0,5,1,27,30,67
03/06/2021,45,32,0,0,9,0,38,34,78
03/07/2021,19,29,0,0,4,1,22,35,49
03/08/2021,47,39,0,0,6,1,32,37,83
03/09/2021,20,23,0,0,5,0,16,20,41
03/10/2021,43,24,0,0,6,0,31,27,65
03/11/2021,29,26,0,0,4,0,25,24,50
03/12/2021,37,30,0,0,5,4,22,23,59
03/13/2021,17,19,0,0,4,1,16,22,38
03/14/2021,34,32,0,0,4,0,28,34,61
03/15/2021,31,21,0,0,7,2,20,18,48
03/16/2021,23,33,0,0,4,0,19,29,54
03/17/2021,19,16,0,0,4,0,14,21,34
03/18/2021,29,25,0,0,7,2,20,26,54
03/19/2021,23,21,0,0,3,1,15,17,42
03/20/2021,20,14,0,0,1,2,17,15,33
03/21/2021,28,13,0,0,7,1,25,10,40
03/22/2021,13,12,0,0,3,0,13,11,24
03/23/2021,22,13,0,0,4,1,13,12,35
03/24/2021,22,9,0,0,4,0,18,10,31
03/25/2021,24,12,0,0,2,2,20,14,34
03/26/2021,12,9,0,0,3,0,12,9,20
03/27/2021,8,2,0,0,0,0,9,6,11
03/28/2021,12,10,0,0,3,2,10,8,23
03/29/2021,15,4,0,0,3,0,9,4,15
03/30/2021,7,8,0,0,3,0,6,7,15
03/31/2021,12,3,0,0,3,0,13,4,15
04/01/2021,12,1,0,0,2,0,11,3,12
04/02/2021,3,7,0,0,1,0,6,6,8
04/03/2021,8,5,0,0,2,1,3,8,12
04/04/2021,8,3,0,0,3,0,7,5,11
04/05/2021,10,2,0,0,6,0,6,1,12
04/06/2021,6,3,0,0,4,1,3,5,10
04/07/2021,8,4,0,0,2,0,5,8,12
04/08/2021,5,4,0,0,3,0,4,4,9
04/09/2021,11,4,0,0,2,0,8,7,13
04/10/2021,5,2,0,0,3,0,5,3,6
04/11/2021,6,5,0,0,1,1,6,7,10
04/12/2021,9,2,0,0,3,0,6,3,10
04/13/2021,9,2,0,0,2,0,9,2,11
04/14/2021,1,2,0,0,1,0,1,1,2
04/15/2021,1,0,0,0,0,0,2,1,2
04/16/2021,3,2,0,0,2,0,2,3,5
04/17/2021,2,2,0,0,2,0,1,3,4
04/18/2021,9,4,0,0,2,1,6,4,12
04/19/2021,8,2,0,0,2,0,6,2,9
04/20/2021,2,1,0,0,2,0,2,1,4
04/21/2021,5,1,0,0,2,0,3,1,6
04/22/2021,1,1,0,0,1,0,2,1,2
04/23/2021,4,2,0,0,3,0,2,3,6
04/24/2021,2,0,0,0,0,0,2,0,2
04/25/2021,2,0,0,0,2,0,2,1,1
04/26/2021,5,4,0,0,0,0,6,6,10
04/27/2021,1,1,0,0,1,0,1,2,2
04/28/2021,0,0,0,0,0,1,1,0,0
04/29/2021,1,0,0,0,1,0,2,1,1
04/30/2021,2,1,0,0,1,1,1,2,3
05/01/2021,1,1,0,0,0,0,3,2,2
05/02/2021,3,0,0,0,0,0,4,0,3
05/03/2021,1,2,0,0,0,1,2,2,3
05/04/2021,1,0,0,0,1,0,2,2,1
05/05/2021,1,1,0,0,0,0,2,1,2
05/06/2021,1,0,0,0,0,0,2,0,1
05/07/2021,0,0,0,0,0,0,1,1,0
05/08/2021,2,0,0,0,2,0,1,0,2
05/09/2021,0,0,0,0,0,1,0,0,0
05/10/2021,1,0,0,0,0,0,1,0,1
05/11/2021,0,0,0,0,0,0,1,1,0
05/12/2021,0,0,0,0,0,0,0,0,0
05/13/2021,1,0,0,0,0,0,1,0,1
05/14/2021,1,0,0,0,0,0,2,0,1
05/15/2021,0,0,0,0,0,0,0,0,0
05/16/2021,1,1,0,0,1,0,2,1,2
05/17/2021,0,0,0,0,0,0,0,0,0
05/18/2021,0,1,0,0,1,0,1,0,0
05/19/2021,2,0,0,0,0,0,2,0,2
05/20/2021,3,0,0,0,2,0,1,2,4
05/21/2021,0,0,0,0,0,0,0,0,0
05/22/2021,0,0,0,0,0,0,0,1,0
05/23/2021,0,2,0,0,1,0,0,1,2
05/24/2021,0,0,0,0,1,0,0,1,0
05/25/2021,0,0,0,0,0,0,0,0,0
05/26/2021,0,0,0,0,0,0,0,0,0
05/27/2021,1,0,0,0,0,0,2,0,1
05/28/2021,0,1,0,0,0,0,0,1,1
05/29/2021,0,0,0,0,0,0,0,0,0
05/30/2021,0,1,0,0,0,0,0,1,1
05/31/2021,1,0,0,0,1,0,0,0,1
06/01/2021,0,1,0,0,0,0,1,2,1
06/02/2021,1,0,0,0,1,0,0,0,1
06/03/2021,0,1,0,0,0,0,0,1,1
06/04/2021,0,0,0,0,0,0,1,0,0
06/05/2021,0,0,0,0,0,0,0,1,0
06/06/2021,0,0,0,0,1,0,2,0,0
06/07/2021,0,0,0,0,0,0,0,0,0
06/08/2021,1,0,0,0,1,0,0,0,1
06/09/2021,0,0,0,0,0,0,0,0,0
06/10/2021,0,0,0,0,0,0,0,1,0
06/11/2021,0,0,0,0,0,0,0,0,0
06/12/2021,0,0,0,0,0,0,0,0,0
06/13/2021,0,0,0,0,0,0,0,0,0
06/14/2021,1,0,0,0,1,0,0,0,1
06/15/2021,0,0,0,0,0,0,0,0,0
06/16/2021,0,0,0,0,0,0,0,0,0
06/17/2021,0,0,0,0,0,0,1,0,0
06/18/2021,0,0,0,0,0,0,0,0,0
06/19/2021,0,0,0,0,0,0,0,0,0
06/20/2021,1,1,0,0,1,0,0,1,2
06/21/2021,0,0,0,0,0,0,0,0,0
06/22/2021,1,1,0,0,0,0,2,1,2
06/23/2021,0,0,0,0,0,0,0,0,0
06/24/2021,0,0,0,0,0,0,0,0,0
06/25/2021,1,0,0,0,1,0,0,0,1
06/26/2021,1,0,0,0,1,0,0,0,1
06/27/2021,0,1,0,0,0,0,0,0,1
06/28/2021,0,0,0,0,0,0,0,0,0
06/29/2021,0,0,0,0,0,0,0,0,0
06/30/2021,5,0,0,0,4,0,1,0,5
07/01/2021,1,0,0,0,0,0,0,0,0
07/02/2021,2,1,0,0,1,0,1,1,3
07/03/2021,3,1,0,0,2,0,1,1,4
07/04/2021,3,2,0,0,2,0,0,2,4
07/05/2021,4,2,0,0,2,0,1,2,5
07/06/2021,2,4,0,0,3,1,0,3,7
07/07/2021,6,2,0,0,6,0,1,2,8
07/08/2021,6,1,0,0,5,0,1,1,7
07/09/2021,3,1,0,0,3,2,0,0,4
07/10/2021,5,0,0,0,2,0,3,0,4
07/11/2021,10,0,0,0,11,0,2,0,10
07/12/2021,5,1,0,0,6,0,0,1,6
07/13/2021,3,3,0,0,3,1,0,2,6
07/14/2021,11,0,0,0,10,0,0,0,9
07/15/2021,6,4,0,0,6,0,0,4,10
07/16/2021,6,0,0,0,6,0,0,0,5
07/17/2021,10,3,0,0,11,0,2,3,12
07/18/2021,14,3,0,0,11,1,2,3,17
07/19/2021,7,2,0,0,7,1,3,0,8
07/20/2021,5,6,0,0,4,0,2,5,10
07/21/2021,8,5,0,0,5,1,3,4,12
07/22/2021,13,4,0,0,11,3,2,1,17
07/23/2021,17,6,0,0,14,2,2,3,21
07/24/2021,13,4,0,0,9,2,2,2,16
07/25/2021,16,4,0,0,17,0,2,3,19
07/26/2021,27,6,0,0,25,1,6,7,33
07/27/2021,33,8,0,0,27,1,10,6,42
07/28/2021,16,6,0,0,14,1,4,5,22
07/29/2021,25,7,0,0,18,1,7,6,29
07/30/2021,37,4,0,0,33,2,4,2,36
07/31/2021,33,4,0,0,23,0,10,4,35
08/01/2021,25,4,0,0,20,1,5,3,25
08/02/2021,34,11,0,0,28,4,6,7,41
08/03/2021,45,7,0,0,37,2,8,5,47
08/04/2021,37,11,0,0,29,2,8,9,47
08/05/2021,51,11,0,0,37,2,14,9,54
08/06/2021,44,11,0,0,35,4,9,7,50
08/07/2021,64,16,1,0,48,6,15,10,73
08/08/2021,71,15,1,0,47,6,23,9,81
08/09/2021,60,12,1,0,45,5,14,7,67
08/10/2021,60,14,2,0,44,7,14,7,67
08/11/2021,60,16,2,0,40,8,18,8,69
08/12/2021,76,14,1,0,59,1,16,13,74
08/13/2021,81,22,6,0,44,3,31,19,94
08/14/2021,67,18,7,0,41,7,19,11,79
08/15/2021,81,27,5,0,52,13,24,14,101
08/16/2021,65,17,7,0,37,5,21,12,79
08/17/2021,70,29,10,0,37,15,23,14,96
08/18/2021,72,30,8,0,34,10,30,20,93
08/19/2021,61,23,4,1,33,8,24,14,72
08/20/2021,69,27,11,0,32,8,26,19,90
08/21/2021,67,33,9,0,28,10,30,23,91
08/22/2021,75,33,11,0,39,15,25,18,93
08/23/2021,75,38,9,1,26,9,40,28,107
08/24/2021,71,26,11,0,29,5,31,21,92
08/25/2021,71,37,6,1,30,8,35,28,100
08/26/2021,61,35,10,0,22,9,29,26,92
08/27/2021,72,26,10,1,31,8,31,17,93
08/28/2021,55,29,10,2,22,7,23,20,74
08/29/2021,78,37,11,2,32,6,35,29,95
08/30/2021,66,38,11,3,23,6,32,29,91
08/31/2021,62,27,8,0,26,8,28,19,87
09/01/2021,63,25,10,1,18,4,35,20,81
09/02/2021,55,23,8,0,23,8,24,15,70
09/03/2021,51,28,8,1,20,6,23,21,74
09/04/2021,55,24,8,0,18,7,29,17,71
09/05/2021,53,30,10,2,10,6,33,22,76
09/06/2021,33,18,2,1,12,5,19,12,52
09/07/2021,53,29,8,1,13,6,32,22,71
09/08/2021,37,27,4,2,11,3,22,22,57
09/09/2021,43,28,6,0,11,2,26,26,64
09/10/2021,55,28,11,3,19,5,25,20,79
09/11/2021,46,29,1,0,15,5,30,24,67
09/12/2021,48,38,8,1,11,11,29,26,82
09/13/2021,41,35,5,0,11,9,25,26,69
09/14/2021,46,32,5,0,13,5,28,27,79
09/15/2021,45,32,6,1,16,3,23,28,67
09/16/2021,42,20,1,1,9,4,32,15,56
09/17/2021,35,35,6,0,7,6,22,29,62
09/18/2021,66,42,2,3,19,4,45,35,97
09/19/2021,0,0,0,0,0,0,0,0,37
